RefDes,Category,Value,Rating,Mouser P/N,Connection,Notes
C10,Capacitor (film/mica),0.01uF,630V film,80-R82DC3100DQ50J,LFO_G - PS1,phase-shift C1 (*)
C11,Capacitor (film/mica),0.01uF,630V film,80-R82DC3100DQ50J,PS1 - PS2,phase-shift C2 (*)
C12,Capacitor (film/mica),0.01uF,630V film,80-R82DC3100DQ50J,PS2 - PS3,phase-shift C3 (*)
C13,Capacitor (electrolytic),22uF,450V elec,80-PEG124KG422QL,BPLUS1 - GND_PSU,B+1 reservoir
C14,Capacitor (electrolytic),22uF,450V elec,80-PEG124KG422QL,BPLUS2 - GND_PSU,B+2 filter
C15,Capacitor (electrolytic),22uF,450V elec,80-PEG124KG422QL,BPLUS3 - GND_PSU,B+3 filter
C16,Capacitor (electrolytic),0.1uF,630V film,80-R82IC3100DQ50J,HTR_CT - GND_PSU,heater elevation bypass
C17,Capacitor (electrolytic),100uF,35V elec,667-EEU-FR1V101,AC63 - DBL,doubler C1
C18,Capacitor (electrolytic),100uF,35V elec,667-EEU-FR1V101,DBL - V16,doubler C2
C19,Capacitor (electrolytic),100uF,25V elec,667-EEU-FR1E101,V12 - GND_PSU,12V reg output cap
D1,Diode,1N4007,1000V 1A,512-1N4007,RECT_AC1 - BPLUS1,HV rectifier + (CT full-wave)
D2,Diode,1N4007,1000V 1A,512-1N4007,RECT_AC2 - BPLUS1,HV rectifier - (CT full-wave)
D3,Diode,1N4007,1000V 1A,512-1N4007,AC63 - DBL,doubler diode 1
D4,Diode,1N4007,1000V 1A,512-1N4007,DBL - V16,doubler diode 2
U1,Regulator,78L12,TO-92 12V,511-L78L12ACZ,V16 - V12,12V linear regulator
D5,Diode,1N4007,1000V 1A,512-1N4007,RLY_COIL+ - RLY_COIL-,relay coil flyback diode (at relay)
V1,Tube socket,12AX7,-,534-8206,chassis-mount,"9-pin noval: V1a input driver, V1b cathode follower"
V2,Tube socket,12AX7,-,534-8206,chassis-mount,"9-pin noval: V2a HF mixer, V2b LF mixer"
V3,Tube socket,12AX7,-,534-8206,chassis-mount,"9-pin noval: V3a LFO oscillator, V3b cathodyne splitter"
P1,Potentiometer,5M audio,-,TBD,chassis-mount,SPEED (LFO phase-shift) (*)
P2,Potentiometer,1M audio,-,588-P1M-A,chassis-mount,INTENSITY (LFO depth to mixers) (*)
P3,Potentiometer,1M audio,-,588-P1M-A,chassis-mount,OUTPUT LEVEL
J1,Jack,1/4 mono,-,568-NMJ4HCD2,chassis-mount,INPUT jack
J2,Jack,1/4 mono,-,568-NMJ4HCD2,chassis-mount,OUTPUT jack
J3,Jack,1/4 TRS,-,568-NMJ6HCD2,chassis-mount,FOOTSWITCH TRS (relay drive + LED return)
T101,Transformer,Hammond 269EX,-,546-269EX,chassis-mount,"PT: 380VCT@71mA, 6.3V@2.5A (CT full-wave rectified)"
K1,Relay,NA12W-K,-,769-NA12W-K,chassis-mount,"DPDT signal relay, 12VDC true-bypass"
SW1,Switch,DPST,-,612-MRA106-A,chassis-mount,Mains power switch
F1,Fuse,0.5A slow,-,576-0217.500HXP,chassis-mount,Mains fuse (5x20mm slo-blo) + holder
IEC1,Mains inlet,IEC C14,-,161-R30144-E,chassis-mount,IEC mains inlet w/ integral fuse holder
LED1,LED,3mm,-,604-WP710A10ID,chassis-mount,Effect-engaged indicator LED
